variant,seed,mode,length_scale_m,source_count,completed,time_per_source_s,virtual_time_s,distance_m,measures,switches,clear_failures,fallback_attempts,stations_visited,runtime_s,mean_first_discovery_s,last_first_discovery_s,containment_violations,nearby_effective_bearings
eighth,1012002,mixed,100.0,15,True,362.77133727856653,5441.570059178498,20967.8502958925,197,185,1,0,21,0.3897080000024289,886.6445067333333,2784.497609,0,0
eighth,1012002,mixed,300.0,15,True,363.1930862146949,5447.896293220424,20969.481466102116,198,186,1,0,21,0.40410619999966,887.8719839333334,2790.995964,0,0
eighth,1012002,mixed,900.0,15,True,362.7199909918311,5440.7998648774665,20943.999324387332,198,187,0,0,21,0.4038890999981959,884.9204204,2781.915491,0,0
eighth,1012003,mixed,100.0,16,True,337.87734177409567,5406.037468385531,20840.187341927656,194,185,1,0,17,0.4260248999999021,1138.2189934375,4542.303093,0,0
eighth,1012003,mixed,300.0,16,True,281.11083634262286,4497.773381481966,17458.86690740983,156,146,0,0,12,0.3744224999973085,951.243410625,3280.13676,0,0
eighth,1012003,mixed,900.0,16,True,281.545605630971,4504.729690095536,17463.64845047769,157,147,0,0,12,0.38088600000264705,951.3920798125,3279.529618,0,0
eighth,1012004,mixed,100.0,10,True,647.3357579826609,6473.357579826609,23356.78789913305,294,282,0,0,21,0.23891070000172476,1544.2407822,4671.45039,0,0
eighth,1012004,mixed,300.0,10,True,647.1866828192026,6471.866828192026,23349.334140960134,294,282,0,0,21,0.24183040000207257,1543.4865735,4665.278403,0,0
eighth,1012004,mixed,900.0,10,True,647.532223077256,6475.32223077256,23366.611153862792,294,282,0,0,21,0.2396885000016482,1543.0631540000002,4668.508883,0,0
eighth,1012005,mixed,100.0,11,True,492.22833408902056,5414.511674979226,19822.558374896144,235,220,0,0,21,0.3265769999998156,380.4222011818182,2024.644213,0,0
eighth,1012005,mixed,300.0,11,True,492.1810090376837,5413.99109941452,19819.955497072617,235,220,0,0,21,0.33847270000114804,380.4135828181818,2024.549411,0,0
eighth,1012005,mixed,900.0,11,True,492.16435674625717,5413.807924208829,19819.039621044147,235,220,0,0,21,0.3239164000005985,380.45007636363636,2024.95084,0,0
eighth,1012006,mixed,100.0,12,True,480.866100894023,5770.393210728276,21366.966053641383,242,227,0,0,21,0.3272962000010011,775.1820329166667,3711.697055,0,0
eighth,1012006,mixed,300.0,12,True,455.7424627739137,5468.909553286964,20349.547766434822,225,214,0,0,21,0.3131074999982957,638.12384225,2109.261704,0,0
eighth,1012006,mixed,900.0,12,True,458.5268563894146,5502.322276672975,20476.611383364874,226,217,0,0,21,0.3178635000003851,636.6581765,2135.736221,0,0
eighth,1012007,mixed,100.0,13,True,521.0638982471354,6773.830677212761,26169.15338606381,248,235,0,0,21,0.40235740000207443,1203.4293821538463,4621.382075,0,0
eighth,1012007,mixed,300.0,13,True,521.3964497128677,6778.15384626728,26190.76923133641,248,235,0,0,21,0.3977781000030518,1204.083505076923,4624.695522,0,0
